customer_id,order_id,order_date,ship_date,ship_mode,months
CC-12430,CA-2015-150791,06-09-2015,13-09-2015,Standard Class,September
SR-20425,CA-2017-134845,17-04-2017,23-04-2017,Standard Class,April    
CM-12385,CA-2017-111738,03-01-2017,07-01-2017,Standard Class,January  
CK-12205,CA-2017-122028,18-08-2017,25-08-2017,Standard Class,August   
PC-18745,CA-2016-159639,27-11-2016,02-12-2016,Standard Class,November 
NB-18655,US-2017-125213,11-12-2017,13-12-2017,First Class,December 
KA-16525,CA-2016-124051,29-12-2016,30-12-2016,First Class,December 
YS-21880,CA-2017-135076,13-04-2017,17-04-2017,Standard Class,April    
SJ-20125,CA-2016-159730,17-09-2016,21-09-2016,Standard Class,September
DK-13225,CA-2016-155481,01-09-2016,05-09-2016,Standard Class,September
CS-11950,CA-2016-161746,21-10-2016,27-10-2016,Standard Class,October  
EK-13795,CA-2015-154340,29-11-2015,30-11-2015,First Class,November 
KN-16390,CA-2017-129581,11-12-2017,18-12-2017,Standard Class,December 
LT-17110,US-2015-104430,22-10-2015,26-10-2015,Standard Class,October  
RL-19615,US-2017-135062,31-08-2017,04-09-2017,Second Class,August   
ND-18370,CA-2016-145247,05-05-2016,07-05-2016,First Class,May      
CC-12145,CA-2015-122623,07-09-2015,11-09-2015,Standard Class,September
FO-14305,CA-2017-144036,22-11-2017,26-11-2017,Standard Class,November 
TN-21040,CA-2016-155446,16-12-2016,23-12-2016,Standard Class,December 
NF-18385,CA-2014-127614,11-02-2014,15-02-2014,Standard Class,February 
EH-13765,CA-2014-138450,18-10-2014,22-10-2014,Standard Class,October  
ES-14080,CA-2015-104129,27-02-2015,02-03-2015,Standard Class,February 
KL-16555,US-2016-129469,23-09-2016,27-09-2016,Standard Class,September
PO-19195,CA-2014-112326,04-01-2014,08-01-2014,Standard Class,January  
MS-17770,CA-2015-135020,28-05-2015,02-06-2015,Standard Class,May      
TS-21205,CA-2014-120887,27-09-2014,03-10-2014,Standard Class,September
MY-18295,CA-2016-149272,15-03-2016,19-03-2016,Standard Class,March    
HR-14830,CA-2015-135538,24-12-2015,28-12-2015,Standard Class,December 
DB-13360,CA-2016-139556,26-04-2016,01-05-2016,Standard Class,April    
BF-11005,CA-2017-103380,21-11-2017,25-11-2017,Standard Class,November 
NP-18670,CA-2017-167227,02-11-2017,05-11-2017,First Class,November 
CC-12145,CA-2015-121797,30-01-2015,06-02-2015,Standard Class,January  
MM-18055,US-2015-165743,20-11-2015,23-11-2015,Second Class,November 
RP-19855,US-2016-150567,17-05-2016,21-05-2016,Standard Class,May      
AW-10930,CA-2016-136812,18-11-2016,23-11-2016,Standard Class,November 
TP-21130,CA-2017-119669,24-01-2017,30-01-2017,Standard Class,January  
MK-18160,CA-2017-163209,03-05-2017,07-05-2017,Standard Class,May      
GM-14695,CA-2016-100244,20-09-2016,24-09-2016,Standard Class,September
BS-11590,CA-2014-106376,05-12-2014,10-12-2014,Standard Class,December 
AH-10690,CA-2014-160276,02-04-2014,08-04-2014,Standard Class,April    
GT-14755,CA-2017-104745,29-05-2017,04-06-2017,Standard Class,May      
MS-17365,CA-2014-127488,22-09-2014,24-09-2014,Second Class,September
SC-20440,CA-2015-113523,04-09-2015,08-09-2015,Standard Class,September
PW-19240,US-2015-114839,26-04-2015,30-04-2015,Standard Class,April    
EA-14035,CA-2016-108581,20-06-2016,26-06-2016,Standard Class,June     
CL-12700,US-2017-166037,28-01-2017,01-02-2017,Standard Class,January  
MC-18130,CA-2016-115504,12-03-2016,17-03-2016,Standard Class,March    
NW-18400,CA-2017-127656,11-07-2017,17-07-2017,Standard Class,July     
ME-17725,US-2016-123470,15-08-2016,21-08-2016,Standard Class,August   
SS-20875,US-2014-123519,14-12-2014,21-12-2014,Standard Class,December 
RP-19855,CA-2016-168774,04-09-2016,09-09-2016,Standard Class,September
NR-18550,CA-2017-140872,03-06-2017,10-06-2017,Standard Class,June     
JE-15610,US-2014-146353,14-10-2014,16-10-2014,Second Class,October  
CB-12535,CA-2016-147585,07-11-2016,12-11-2016,Standard Class,November 
TB-21355,CA-2017-136609,06-08-2017,11-08-2017,Standard Class,August   
PS-19045,CA-2017-109211,04-04-2017,10-04-2017,Standard Class,April    
PS-19045,CA-2015-132374,22-02-2015,24-02-2015,Second Class,February 
LD-16855,CA-2016-152331,26-06-2016,30-06-2016,Standard Class,June     
KB-16585,US-2015-118906,10-03-2015,10-03-2015,Same Day,March    
LA-16780,CA-2014-163552,11-07-2014,15-07-2014,Standard Class,July     
DW-13480,CA-2014-131926,01-06-2014,06-06-2014,Second Class,June     
RP-19390,CA-2017-103352,27-11-2017,30-11-2017,Second Class,November 
DE-13255,CA-2015-153381,24-09-2015,28-09-2015,Standard Class,September
TS-21160,CA-2015-161263,16-04-2015,21-04-2015,Standard Class,April    
LS-17230,US-2015-111927,14-11-2015,19-11-2015,Standard Class,November 
DC-13285,CA-2016-137736,10-11-2016,15-11-2016,Standard Class,November 
JK-15730,CA-2015-127607,20-03-2015,26-03-2015,Standard Class,March    
HW-14935,CA-2016-136133,18-08-2016,23-08-2016,Second Class,August   
MH-18115,CA-2017-137785,13-05-2017,17-05-2017,Standard Class,May      
TB-21625,CA-2017-120168,25-05-2017,25-05-2017,Same Day,May      
TP-21130,CA-2016-142370,19-09-2016,23-09-2016,Standard Class,September
JC-16105,CA-2014-141173,18-11-2014,20-11-2014,Second Class,November 
JF-15190,CA-2015-105508,24-09-2015,29-09-2015,Standard Class,September
LC-17050,CA-2016-118514,03-02-2016,10-02-2016,Standard Class,February 
CL-12565,CA-2016-134803,28-05-2016,03-06-2016,Standard Class,May      
HE-14800,CA-2016-146374,05-12-2016,10-12-2016,Second Class,December 
DW-13540,CA-2016-128706,27-02-2016,02-03-2016,Standard Class,February 
NP-18325,US-2014-117135,21-06-2014,23-06-2014,Second Class,June     
PK-19075,CA-2017-132346,07-11-2017,11-11-2017,Standard Class,November 
RB-19360,CA-2017-169810,25-07-2017,31-07-2017,Standard Class,July     
TH-21550,CA-2015-100769,16-05-2015,16-05-2015,Same Day,May      
SP-20620,CA-2017-112844,13-11-2017,16-11-2017,Second Class,November 
RC-19825,CA-2014-138296,05-12-2014,12-12-2014,Standard Class,December 
XP-21865,CA-2014-167927,20-01-2014,26-01-2014,Standard Class,January  
EB-13975,CA-2016-135461,07-02-2016,10-02-2016,Second Class,February 
SE-20110,CA-2016-158841,02-02-2016,04-02-2016,Second Class,February 
BF-11170,CA-2017-151799,14-12-2017,18-12-2017,Standard Class,December 
HK-14890,CA-2015-150875,16-11-2015,20-11-2015,Standard Class,November 
MA-17995,CA-2016-152247,07-11-2016,12-11-2016,Standard Class,November 
AM-10705,CA-2017-157903,04-04-2017,08-04-2017,Standard Class,April    
CM-11815,CA-2017-145765,28-05-2017,02-06-2017,Standard Class,May      
AC-10450,US-2015-106495,15-06-2015,17-06-2015,First Class,June     
DK-13375,US-2016-111290,22-07-2016,26-07-2016,Standard Class,July     
LE-16810,CA-2014-100706,16-12-2014,18-12-2014,Second Class,December 
JE-15715,CA-2016-169670,25-12-2016,31-12-2016,Standard Class,December 
AR-10345,US-2014-115189,30-12-2014,03-01-2015,Second Class,December 
RR-19525,CA-2016-115525,25-07-2016,29-07-2016,Standard Class,July     
AG-10675,CA-2017-101483,29-07-2017,01-08-2017,Second Class,July     
AI-10855,CA-2014-131387,28-04-2014,30-04-2014,First Class,April    
TT-21460,CA-2015-135622,08-12-2015,11-12-2015,Second Class,December 
LC-17140,CA-2017-169439,09-09-2017,13-09-2017,Standard Class,September
CC-12145,CA-2016-130078,08-08-2016,14-08-2016,Standard Class,August   
CC-12430,CA-2016-163384,10-11-2016,12-11-2016,First Class,November 
HZ-14950,CA-2017-168739,29-05-2017,05-06-2017,Standard Class,May      
CM-12655,CA-2017-143126,03-12-2017,07-12-2017,Second Class,December 
AM-10705,US-2017-124821,25-06-2017,29-06-2017,Second Class,June     
JD-16060,CA-2014-123344,24-09-2014,29-09-2014,Standard Class,September
KM-16660,CA-2016-132990,01-08-2016,03-08-2016,Second Class,August   
BS-11665,CA-2015-126725,17-11-2015,21-11-2015,Standard Class,November 
GH-14665,CA-2015-163090,17-11-2015,21-11-2015,Second Class,November 
DD-13570,CA-2017-110926,19-11-2017,23-11-2017,Standard Class,November 
BO-11350,CA-2017-132199,03-05-2017,08-05-2017,Standard Class,May      
KM-16225,CA-2017-137463,16-12-2017,20-12-2017,Second Class,December 
PS-19045,CA-2015-155054,13-06-2015,19-06-2015,Standard Class,June     
AA-10645,CA-2015-110863,17-11-2015,24-11-2015,Standard Class,November 
TB-21250,CA-2016-162614,07-10-2016,13-10-2016,Standard Class,October  
CM-12445,CA-2016-145898,26-09-2016,26-09-2016,Same Day,September
SL-20155,US-2015-107349,13-07-2015,15-07-2015,First Class,July     
HG-14965,US-2017-122672,04-11-2017,09-11-2017,Standard Class,November 
BG-11695,CA-2014-127523,11-05-2014,18-05-2014,Standard Class,May      
MH-17620,CA-2016-132017,26-09-2016,27-09-2016,First Class,September
NH-18610,CA-2015-113901,19-10-2015,24-10-2015,Standard Class,October  
JK-15640,CA-2017-168109,03-07-2017,03-07-2017,Same Day,July     
PM-19135,CA-2016-165148,22-10-2016,24-10-2016,First Class,October  
PS-18970,US-2015-164175,30-04-2015,05-05-2015,Standard Class,April    
BD-11320,CA-2015-121699,10-08-2015,14-08-2015,Standard Class,August   
VB-21745,CA-2015-111395,23-11-2015,27-11-2015,Standard Class,November 
EM-13825,CA-2014-103807,02-12-2014,09-12-2014,Standard Class,December 
SV-20365,CA-2016-157511,18-09-2016,20-09-2016,First Class,September
HG-14845,CA-2014-142727,29-04-2014,01-05-2014,Second Class,April    
HH-15010,CA-2014-135699,29-08-2014,29-08-2014,Same Day,August   
SR-20425,CA-2017-143658,08-11-2017,13-11-2017,Second Class,November 
AD-10180,CA-2014-128062,19-11-2014,22-11-2014,Second Class,November 
AC-10615,CA-2017-136007,23-02-2017,02-03-2017,Standard Class,February 
MN-17935,CA-2014-122567,16-02-2014,21-02-2014,Standard Class,February 
BH-11710,CA-2017-127306,14-01-2017,18-01-2017,Standard Class,January  
VG-21790,CA-2016-151092,06-08-2016,13-08-2016,Standard Class,August   
SD-20485,US-2014-118486,06-04-2014,08-04-2014,First Class,April    
KB-16585,CA-2014-129168,17-08-2014,23-08-2014,Standard Class,August   
EH-14185,CA-2016-160486,30-12-2016,04-01-2017,Standard Class,December 
KN-16390,CA-2017-140802,21-04-2017,23-04-2017,First Class,April    
KC-16255,CA-2015-159590,18-07-2015,21-07-2015,First Class,July     
LH-16900,CA-2016-113733,08-12-2016,12-12-2016,Standard Class,December 
AH-10075,CA-2017-118857,15-04-2017,18-04-2017,First Class,April    
JD-15895,CA-2016-168046,25-01-2016,28-01-2016,Second Class,January  
MS-17770,CA-2016-150350,23-08-2016,30-08-2016,Standard Class,August   
BP-11290,CA-2017-137505,24-11-2017,24-11-2017,Same Day,November 
DC-13285,CA-2015-117884,22-03-2015,22-03-2015,Same Day,March    
LW-16990,CA-2017-158407,04-06-2017,10-06-2017,Standard Class,June     
JK-15625,CA-2014-166051,31-05-2014,05-06-2014,Standard Class,May      
JC-15775,CA-2015-127824,18-10-2015,22-10-2015,Standard Class,October  
DB-13210,CA-2017-165841,21-12-2017,28-12-2017,Standard Class,December 
DK-13090,CA-2017-117807,01-10-2017,07-10-2017,Standard Class,October  
RS-19420,US-2016-159093,09-05-2016,14-05-2016,Standard Class,May      
TD-20995,US-2016-167339,21-01-2016,23-01-2016,Second Class,January  
WB-21850,CA-2015-122210,30-11-2015,04-12-2015,Standard Class,November 
TS-21655,CA-2017-147207,02-01-2017,04-01-2017,Second Class,January  
MA-17560,US-2016-117793,23-08-2016,29-08-2016,Standard Class,August   
BF-11275,CA-2017-161130,03-11-2017,08-11-2017,Standard Class,November 
TH-21550,CA-2015-120810,23-07-2015,27-07-2015,Standard Class,July     
PW-19240,US-2016-131891,29-07-2016,31-07-2016,First Class,July     
KN-16705,CA-2017-126067,28-08-2017,03-09-2017,Standard Class,August   
FO-14305,CA-2015-103093,03-02-2015,07-02-2015,Standard Class,February 
DK-13225,CA-2015-113173,15-11-2015,17-11-2015,Second Class,November 
SJ-20125,CA-2017-110212,01-05-2017,05-05-2017,Standard Class,May      
EM-13825,CA-2017-114258,05-11-2017,10-11-2017,Second Class,November 
RC-19825,CA-2016-125318,06-06-2016,13-06-2016,Standard Class,June     
PJ-19015,CA-2016-153101,08-09-2016,08-09-2016,Same Day,September
HE-14800,CA-2016-114944,30-01-2016,04-02-2016,Standard Class,January  
MJ-17740,CA-2016-106397,07-07-2016,13-07-2016,Standard Class,July     
TT-21460,US-2017-119816,04-03-2017,06-03-2017,Second Class,March    
KL-16555,US-2016-153815,06-11-2016,09-11-2016,First Class,November 
PF-19120,CA-2015-129896,15-06-2015,20-06-2015,Standard Class,June     
BM-11140,CA-2016-126004,04-12-2016,05-12-2016,First Class,December 
SC-20095,CA-2016-130638,16-05-2016,19-05-2016,Second Class,May      
IL-15100,CA-2015-151722,05-10-2015,09-10-2015,Standard Class,October  
CS-12400,CA-2016-133816,10-05-2016,13-05-2016,Second Class,May      
BP-11230,CA-2017-142888,21-11-2017,25-11-2017,Standard Class,November 
DB-13555,CA-2017-115882,14-09-2017,17-09-2017,First Class,September
SH-20395,CA-2016-113600,15-12-2016,17-12-2016,Second Class,December 
BM-11650,CA-2015-100454,20-11-2015,25-11-2015,Standard Class,November 
BD-11725,CA-2016-165015,25-02-2016,27-02-2016,Second Class,February 
EB-13840,CA-2015-164301,26-03-2015,30-03-2015,Standard Class,March    
DL-12925,US-2014-137155,01-11-2014,05-11-2014,Standard Class,November 
EM-14065,CA-2017-149720,04-06-2017,07-06-2017,Second Class,June     
AA-10375,CA-2015-114503,13-11-2015,17-11-2015,Standard Class,November 
CC-12610,CA-2017-155957,26-11-2017,30-11-2017,Standard Class,November 
VM-21685,US-2016-150140,06-04-2016,10-04-2016,Standard Class,April    
SH-19975,CA-2016-151512,26-12-2016,02-01-2017,Standard Class,December 
AH-10195,CA-2017-123043,24-08-2017,29-08-2017,Standard Class,August   
SV-20785,CA-2016-148852,26-05-2016,31-05-2016,Standard Class,May      
KM-16225,CA-2017-116358,02-11-2017,06-11-2017,Standard Class,November 
JM-15865,US-2017-109582,12-09-2017,17-09-2017,Second Class,September
AG-10300,CA-2014-147298,26-04-2014,03-05-2014,Standard Class,April    
FW-14395,CA-2016-139409,05-09-2016,07-09-2016,First Class,September
TS-21610,CA-2017-163160,13-10-2017,16-10-2017,First Class,October  
KD-16615,US-2015-129007,13-09-2015,15-09-2015,First Class,September
KN-16450,CA-2015-123456,09-07-2015,13-07-2015,Standard Class,July     
PF-19165,CA-2017-118437,17-06-2017,21-06-2017,Second Class,June     
HM-14980,CA-2016-106075,18-09-2016,23-09-2016,Standard Class,September
PA-19060,CA-2017-140508,18-09-2017,21-09-2017,First Class,September
BM-11650,CA-2014-165379,09-07-2014,15-07-2014,Standard Class,July     
CP-12085,US-2017-167402,13-01-2017,18-01-2017,Second Class,January  
YC-21895,CA-2015-153220,12-11-2015,14-11-2015,First Class,November 
KE-16420,US-2014-109162,08-06-2014,12-06-2014,Standard Class,June     
JK-15370,CA-2015-127453,19-12-2015,20-12-2015,First Class,December 
TH-21100,CA-2015-133837,13-04-2015,18-04-2015,Standard Class,April    
JM-15535,US-2017-148866,19-09-2017,24-09-2017,Standard Class,September
EH-13990,CA-2016-124100,31-03-2016,06-04-2016,Standard Class,March    
SO-20335,CA-2017-147228,09-09-2017,14-09-2017,Standard Class,September
CC-12430,CA-2017-126221,30-12-2017,05-01-2018,Standard Class,December 
AM-10360,CA-2017-161340,28-05-2017,01-06-2017,Standard Class,May      
GR-14560,CA-2014-103401,21-11-2014,26-11-2014,Standard Class,November 
PK-18910,CA-2014-105172,04-04-2014,09-04-2014,Standard Class,April    
CJ-12010,CA-2017-144491,27-03-2017,01-04-2017,Standard Class,March    
FO-14305,US-2017-107979,08-06-2017,13-06-2017,Standard Class,June     
SC-20050,CA-2017-154123,20-11-2017,25-11-2017,Standard Class,November 
CS-12250,CA-2015-149811,04-01-2015,10-01-2015,Standard Class,January  
SP-20620,CA-2016-131289,08-12-2016,14-12-2016,Standard Class,December 
BM-11575,CA-2017-155642,18-05-2017,22-05-2017,Standard Class,May      
PM-19135,CA-2016-149685,08-10-2016,15-10-2016,Standard Class,October  
MW-18235,CA-2014-117639,21-05-2014,25-05-2014,Standard Class,May      
RA-19285,CA-2017-161480,25-12-2017,29-12-2017,Standard Class,December 
TG-21310,CA-2015-110345,09-03-2015,11-03-2015,Second Class,March    
AZ-10750,CA-2014-158442,17-03-2014,17-03-2014,Same Day,March    
SV-20935,CA-2016-136371,19-03-2016,21-03-2016,Second Class,March    
BS-11365,US-2014-148194,04-05-2014,07-05-2014,First Class,May      
FG-14260,CA-2014-152443,21-05-2014,26-05-2014,Standard Class,May      
CA-11965,CA-2015-161452,05-04-2015,11-04-2015,Standard Class,April    
HG-14965,CA-2015-122168,21-08-2015,26-08-2015,Standard Class,August   
DK-12985,CA-2017-140627,23-12-2017,27-12-2017,Standard Class,December 
JE-15745,US-2016-162026,08-10-2016,08-10-2016,Same Day,October  
JL-15505,CA-2014-162362,14-11-2014,18-11-2014,Standard Class,November 
SP-20860,CA-2017-110478,04-03-2017,09-03-2017,Standard Class,March    
DM-13525,CA-2015-132465,11-09-2015,15-09-2015,Second Class,September
BC-11125,US-2016-134369,16-09-2016,22-09-2016,Standard Class,September
PN-18775,US-2016-118780,10-09-2016,14-09-2016,Second Class,September
CP-12340,CA-2017-168102,24-04-2017,30-04-2017,Standard Class,April    
SS-20410,CA-2017-159954,10-09-2017,14-09-2017,Standard Class,September
SC-20050,CA-2016-129238,31-01-2016,04-02-2016,Standard Class,January  
RB-19330,CA-2014-159835,17-11-2014,24-11-2014,Standard Class,November 
JH-15430,CA-2017-105620,25-12-2017,28-12-2017,First Class,December 
RB-19795,CA-2014-141299,03-06-2014,07-06-2014,Second Class,June     
KW-16570,US-2015-124219,07-08-2015,08-08-2015,First Class,August   
SN-20560,CA-2016-118101,26-06-2016,26-06-2016,Same Day,June     
KT-16465,CA-2014-146283,08-09-2014,15-09-2014,Standard Class,September
JF-15415,US-2014-166828,22-08-2014,25-08-2014,First Class,August   
AJ-10945,CA-2015-164497,28-11-2015,30-11-2015,First Class,November 
GZ-14470,CA-2014-124723,05-08-2014,12-08-2014,Standard Class,August   
ND-18370,CA-2014-148915,01-11-2014,05-11-2014,Standard Class,November 
JS-15880,CA-2014-121769,08-04-2014,12-04-2014,Standard Class,April    
JK-15205,CA-2015-116484,20-11-2015,26-11-2015,Standard Class,November 
EH-13765,CA-2014-142979,12-04-2014,18-04-2014,Standard Class,April    
CS-12175,CA-2017-117632,12-05-2017,18-05-2017,Standard Class,May      
MF-17665,US-2014-169789,30-12-2014,04-01-2015,Standard Class,December 
MY-18295,CA-2017-167626,03-09-2017,07-09-2017,Standard Class,September
KD-16495,CA-2015-114811,08-11-2015,08-11-2015,Same Day,November 
AI-10855,CA-2017-155929,09-09-2017,13-09-2017,Standard Class,September
BT-11680,CA-2015-132626,09-07-2015,14-07-2015,Standard Class,July     
BS-11590,CA-2016-105900,17-09-2016,23-09-2016,Standard Class,September
AA-10375,CA-2016-126613,10-07-2016,16-07-2016,Standard Class,July     
PR-18880,CA-2015-125563,11-04-2015,17-04-2015,Standard Class,April    
PR-18880,US-2017-109253,21-08-2017,22-08-2017,First Class,August   
CT-11995,US-2016-126893,26-11-2016,01-12-2016,Standard Class,November 
KD-16270,CA-2016-119823,04-06-2016,06-06-2016,First Class,June     
MV-17485,CA-2014-148614,20-01-2014,25-01-2014,Standard Class,January  
BS-11800,CA-2015-122371,26-09-2015,01-10-2015,Standard Class,September
LS-16945,US-2017-128832,24-04-2017,27-04-2017,First Class,April    
CS-11950,CA-2016-120796,03-04-2016,07-04-2016,Standard Class,April    
SR-20740,CA-2016-162222,03-04-2016,03-04-2016,Same Day,April    
RB-19795,CA-2017-157672,05-10-2017,07-10-2017,First Class,October  
EH-13990,CA-2016-107790,20-11-2016,24-11-2016,Standard Class,November 
HE-14800,CA-2017-143252,18-12-2017,24-12-2017,Standard Class,December 
CV-12295,US-2014-137869,28-03-2014,02-04-2014,Standard Class,March    
SA-20830,CA-2015-122266,26-04-2015,30-04-2015,Standard Class,April    
BF-11275,CA-2014-148040,22-03-2014,26-03-2014,Standard Class,March    
FH-14350,CA-2015-148859,28-12-2015,01-01-2016,Standard Class,December 
LC-16885,CA-2014-139192,27-05-2014,01-06-2014,Second Class,May      
DP-13105,CA-2017-155362,17-12-2017,21-12-2017,Standard Class,December 
KL-16645,US-2017-140312,13-11-2017,19-11-2017,Standard Class,November 
AR-10825,CA-2016-132304,14-06-2016,18-06-2016,Standard Class,June     
CK-12760,CA-2014-104976,09-12-2014,16-12-2014,Standard Class,December 
DC-12850,CA-2016-130911,24-03-2016,26-03-2016,Second Class,March    
MC-17845,US-2017-128447,10-11-2017,17-11-2017,Standard Class,November 
TT-21220,CA-2016-146766,04-11-2016,04-11-2016,Same Day,November 
GZ-14470,CA-2017-126928,17-09-2017,23-09-2017,Standard Class,September
MG-17890,CA-2017-102967,22-09-2017,26-09-2017,Standard Class,September
JP-15520,CA-2015-145401,30-01-2015,04-02-2015,Standard Class,January  
TC-21535,CA-2014-153619,03-11-2014,03-11-2014,Same Day,November 
TH-21115,CA-2014-148369,23-09-2014,27-09-2014,Standard Class,September
SC-20770,CA-2015-140144,20-06-2015,25-06-2015,Second Class,June     
HK-14890,CA-2015-109862,25-10-2015,30-10-2015,Standard Class,October  
AW-10930,CA-2016-163216,07-10-2016,10-10-2016,First Class,October  
CV-12805,CA-2017-157252,20-01-2017,23-01-2017,Second Class,January  
CR-12730,CA-2017-116519,13-10-2017,15-10-2017,First Class,October  
RD-19585,CA-2017-111647,03-07-2017,07-07-2017,Standard Class,July     
RD-19480,CA-2014-108147,08-06-2014,13-06-2014,Standard Class,June     
CD-11920,CA-2014-147235,24-03-2014,28-03-2014,Standard Class,March    
BE-11335,CA-2016-128307,25-07-2016,29-07-2016,Standard Class,July     
AH-10690,CA-2016-158869,06-08-2016,07-08-2016,First Class,August   
JL-15130,CA-2016-138933,24-04-2016,27-04-2016,First Class,April    
PL-18925,CA-2014-168305,01-11-2014,08-11-2014,Standard Class,November 
SC-20020,CA-2015-147690,10-11-2015,14-11-2015,Standard Class,November 
JF-15355,CA-2017-136651,23-04-2017,25-04-2017,Second Class,April    
AH-10120,CA-2017-107958,02-07-2017,05-07-2017,First Class,July     
KM-16225,CA-2016-119935,10-11-2016,14-11-2016,Standard Class,November 
GZ-14470,CA-2016-131737,17-03-2016,17-03-2016,Same Day,March    
TB-21190,CA-2015-160059,27-11-2015,01-12-2015,Standard Class,November 
JJ-15445,CA-2016-163986,03-09-2016,10-09-2016,Standard Class,September
ML-17395,CA-2014-121762,14-02-2014,18-02-2014,Standard Class,February 
GM-14680,CA-2016-139157,01-10-2016,05-10-2016,Standard Class,October  
SV-20365,CA-2016-118745,11-06-2016,16-06-2016,Standard Class,June     
RS-19870,CA-2017-142776,11-12-2017,14-12-2017,Second Class,December 
BP-11095,CA-2017-161851,15-04-2017,17-04-2017,First Class,April    
TP-21415,CA-2017-118773,09-02-2017,14-02-2017,Standard Class,February 
HG-15025,CA-2014-163748,14-10-2014,18-10-2014,Standard Class,October  
GB-14530,CA-2016-159912,29-08-2016,03-09-2016,Standard Class,August   
PK-18910,CA-2016-158099,03-09-2016,05-09-2016,First Class,September
EC-14050,CA-2017-161102,31-07-2017,03-08-2017,First Class,July     
RB-19645,CA-2015-153038,18-12-2015,25-12-2015,Standard Class,December 
RD-19810,CA-2014-148285,27-10-2014,01-11-2014,Standard Class,October  
GT-14635,US-2017-168116,04-11-2017,04-11-2017,Same Day,November 
DK-13225,CA-2017-100650,29-06-2017,03-07-2017,Second Class,June     
CS-12400,CA-2017-135111,28-12-2017,02-01-2018,Standard Class,December 
MZ-17335,CA-2017-107314,30-11-2017,03-12-2017,First Class,November 
RW-19540,CA-2017-141733,07-05-2017,11-05-2017,Standard Class,May      
EH-14005,CA-2014-154592,07-12-2014,08-12-2014,First Class,December 
AS-10630,US-2016-155404,22-09-2016,28-09-2016,Standard Class,September
JH-16180,CA-2016-161907,05-04-2016,09-04-2016,Standard Class,April    
JD-16015,CA-2014-148950,14-12-2014,19-12-2014,Standard Class,December 
CC-12475,CA-2017-144225,30-09-2017,02-10-2017,Second Class,September
JJ-15760,CA-2015-103205,08-12-2015,10-12-2015,Second Class,December 
GT-14755,CA-2016-130029,03-07-2016,06-07-2016,First Class,July     
GH-14410,CA-2016-118934,09-08-2016,14-08-2016,Standard Class,August   
HF-14995,CA-2014-158029,26-05-2014,30-05-2014,Standard Class,May      
MC-17605,CA-2016-145492,20-11-2016,27-11-2016,Standard Class,November 
SC-20770,CA-2016-131744,18-06-2016,20-06-2016,Second Class,June     
KL-16645,CA-2017-164042,23-05-2017,27-05-2017,Standard Class,May      
RB-19465,CA-2014-117765,07-09-2014,13-09-2014,Standard Class,September
RS-19420,CA-2017-164819,15-10-2017,19-10-2017,Second Class,October  
BD-11320,CA-2017-107125,27-11-2017,02-12-2017,Standard Class,November 
KH-16330,CA-2016-153577,27-06-2016,01-07-2016,Standard Class,June     
AB-10165,CA-2017-145737,15-09-2017,20-09-2017,Standard Class,September
FM-14215,CA-2014-114643,13-06-2014,17-06-2014,Standard Class,June     
MH-18115,CA-2017-121839,24-09-2017,28-09-2017,Standard Class,September
SC-20260,CA-2015-111514,31-08-2015,02-09-2015,First Class,August   
TB-21280,US-2016-155180,22-01-2016,29-01-2016,Standard Class,January  
CC-12370,CA-2016-154690,15-08-2016,17-08-2016,Second Class,August   
AA-10480,CA-2016-114601,26-08-2016,02-09-2016,Standard Class,August   
TB-21520,CA-2014-142587,21-10-2014,22-10-2014,First Class,October  
NP-18325,CA-2017-126865,05-12-2017,07-12-2017,Second Class,December 
RS-19765,CA-2017-152856,08-09-2017,10-09-2017,Second Class,September
JC-15340,CA-2016-154536,05-09-2016,09-09-2016,Standard Class,September
DC-12850,US-2017-133781,22-06-2017,23-06-2017,First Class,June     
JH-15910,CA-2015-104115,12-06-2015,16-06-2015,Standard Class,June     
JD-15895,CA-2015-127481,12-12-2015,15-12-2015,Second Class,December 
SF-20965,CA-2014-169852,21-10-2014,26-10-2014,Standard Class,October  
NM-18520,US-2015-100531,27-09-2015,29-09-2015,First Class,September
EA-14035,CA-2016-104633,12-06-2016,16-06-2016,Standard Class,June     
SW-20455,CA-2016-140249,27-09-2016,03-10-2016,Standard Class,September
NP-18325,CA-2014-117464,22-07-2014,24-07-2014,Second Class,July     
PN-18775,CA-2017-132213,25-04-2017,26-04-2017,First Class,April    
JS-16030,CA-2016-163776,19-07-2016,25-07-2016,Standard Class,July     
AC-10660,CA-2016-158617,22-09-2016,28-09-2016,Standard Class,September
RA-19945,CA-2015-126445,27-08-2015,31-08-2015,Standard Class,August   
AF-10870,CA-2016-126270,23-04-2016,27-04-2016,Standard Class,April    
LH-17155,US-2016-131912,29-10-2016,01-11-2016,Second Class,October  
DK-12895,CA-2017-152310,12-08-2017,19-08-2017,Standard Class,August   
AB-10015,CA-2016-140935,10-11-2016,12-11-2016,First Class,November 
RB-19465,CA-2017-137456,21-12-2017,21-12-2017,Same Day,December 
BC-11125,CA-2015-158351,20-06-2015,24-06-2015,Second Class,June     
CS-12175,CA-2014-109302,12-08-2014,16-08-2014,Standard Class,August   
CJ-12010,CA-2017-122105,24-06-2017,28-06-2017,Standard Class,June     
KN-16450,CA-2017-155621,08-11-2017,13-11-2017,Standard Class,November 
JG-15160,CA-2016-108434,05-12-2016,07-12-2016,Second Class,December 
